fen,evaluation
rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,30
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,48
rnbqk2r/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 4,58
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,60
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR b KQkq - 1 5,52
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 2 6,52
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQ - 3 6,42
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQK2R w KQ - 0 7,42
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N1BN2/PP2BPPP/R2QK2R b KQ - 1 7,37
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N1BN2/PP2BPPP/R2QK2R w KQ - 2 8,90
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 b - - 3 8,18
r1bqr1k1/ppp2pbp/2np1np1/4p3/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 w - - 4 9,39
r1bqr1k1/ppp2pbp/2np1np1/4P3/2P1P3/2N1BN2/PP2BPPP/R2Q1RK1 b - - 0 9,42
r1bqr1k1/ppp2pbp/2n2np1/4p3/2P1P3/2N1BN2/PP2BPPP/R2Q1RK1 w - - 0 10,35
r1bQr1k1/ppp2pbp/2n2np1/4p3/2P1P3/2N1BN2/PP2BPPP/R4RK1 b - - 0 10,10
r1bnr1k1/ppp2pbp/5np1/4p3/2P1P3/2N1BN2/PP2BPPP/R4RK1 w - - 0 11,60
r1bnr1k1/ppp2pbp/5np1/1N2p3/2P1P3/4BN2/PP2BPPP/R4RK1 b - - 1 11,33
r1b1r1k1/ppp2pbp/4nnp1/1N2p3/2P1P3/4BN2/PP2BPPP/R4RK1 w - - 2 12,21
r1b1r1k1/ppp2pbp/4nnp1/1N2p1N1/2P1P3/4B3/PP2BPPP/R4RK1 b - - 3 12,25
r1b3k1/ppp1rpbp/4nnp1/1N2p1N1/2P1P3/4B3/PP2BPPP/R4RK1 w - - 4 13,19
r1b3k1/ppp1rpbp/4Nnp1/1N2p3/2P1P3/4B3/PP2BPPP/R4RK1 b - - 0 13,6
r5k1/ppp1rpbp/4bnp1/1N2p3/2P1P3/4B3/PP2BPPP/R4RK1 w - - 0 14,4
r5k1/ppp1rpbp/4bnp1/1N2p3/2P1P3/4BP2/PP2B1PP/R4RK1 b - - 0 14,4
r5k1/pp2rpbp/2p1bnp1/1N2p3/2P1P3/4BP2/PP2B1PP/R4RK1 w - - 0 15,6
r5k1/pp2rpbp/2p1bnp1/4p3/2P1P3/2N1BP2/PP2B1PP/R4RK1 b - - 1 15,5
r5k1/pp1r1pbp/2p1bnp1/4p3/2P1P3/2N1BP2/PP2B1PP/R4RK1 w - - 2 16,3
r5k1/pp1r1pbp/2p1bnp1/4p3/2P1P3/2N1BP2/PP2B1PP/R2R2K1 b - - 3 16,0
r4bk1/pp1r1p1p/2p1bnp1/4p3/2P1P3/2N1BP2/PP2B1PP/R2R2K1 w - - 4 17,-1
r4bk1/pp1r1p1p/2p1bnp1/4p3/2P1P3/2N1BP2/PP2BKPP/R2R4 b - - 5 17,-2
r4bk1/p2r1p1p/1pp1bnp1/4p3/2P1P3/2N1BP2/PP2BKPP/R2R4 w - - 0 18,0
r4bk1/p2r1p1p/1pp1bnp1/4p3/2P1P3/1PN1BP2/P3BKPP/R2R4 b - - 0 18,-2
r4bk1/pr3p1p/1pp1bnp1/4p3/2P1P3/1PN1BP2/P3BKPP/R2R4 w - - 1 19,5
r4bk1/pr3p1p/1pp1bnp1/4p3/N1P1P3/1P2BP2/P3BKPP/R2R4 b - - 2 19,2
r4bk1/pr1n1p1p/1pp1b1p1/4p3/N1P1P3/1P2BP2/P3BKPP/R2R4 w - - 3 20,0
r4bk1/pr1n1p1p/1pp1b1p1/4p3/2P1P3/1P2BP2/PN2BKPP/R2R4 b - - 4 20,-5
r4bk1/pr1n1p1p/2p1b1p1/1p2p3/2P1P3/1P2BP2/PN2BKPP/R2R4 w - - 0 21,-6
r4bk1/pr1n1p1p/2p1b1p1/1P2p3/4P3/1P2BP2/PN2BKPP/R2R4 b - - 0 21,-9
r4bk1/pr1n1p1p/4b1p1/1p2p3/4P3/1P2BP2/PN2BKPP/R2R4 w - - 0 22,-10
r4bk1/pr1n1p1p/4b1p1/1p2p3/4P3/1P2BP2/PN2BKPP/R1R5 b - - 1 22,-12
r4bk1/1r1n1p1p/4b1p1/pp2p3/4P3/1P2BP2/PN2BKPP/R1R5 w - - 0 23,-4
r4bk1/1r1n1p1p/4b1p1/pp2p3/4P3/1P1NBP2/P3BKPP/R1R5 b - - 1 23,-7
r5k1/1r1n1p1p/4b1p1/pp2p3/4P3/bP1NBP2/P3BKPP/R1R5 w - - 2 24,25
r5k1/1r1n1p1p/2R1b1p1/pp2p3/4P3/bP1NBP2/P3BKPP/R7 b - - 3 24,21
r5k1/1r1n1p1p/2R1b1p1/p3p3/1p2P3/bP1NBP2/P3BKPP/R7 w - - 0 25,65
r5k1/1r1n1p1p/2R1b1p1/p3p3/1p2P3/bP1NBP2/P3BKPP/1R6 b - - 1 25,45
r5k1/1r1n1p1p/2R1b1p1/4p3/pp2P3/bP1NBP2/P3BKPP/1R6 w - - 0 26,58
r5k1/1r1n1p1p/2R1b1p1/2N1p3/pp2P3/bP2BP2/P3BKPP/1R6 b - - 1 26,57
r5k1/1r3p1p/2R1b1p1/2n1p3/pp2P3/bP2BP2/P3BKPP/1R6 w - - 0 27,46
r5k1/1r3p1p/4b1p1/2R1p3/pp2P3/bP2BP2/P3BKPP/1R6 b - - 0 27,56
r5k1/1r3p1p/4b1p1/2R1p3/1p2P3/bp2BP2/P3BKPP/1R6 w - - 0 28,56
r5k1/1r3p1p/4b1p1/2R1p3/1p2P3/bP2BP2/4BKPP/1R6 b - - 0 28,68
r5k1/1r5p/4bpp1/2R1p3/1p2P3/bP2BP2/4BKPP/1R6 w - - 0 29,89
r5k1/1r5p/4bpp1/2R1p3/1pB1P3/bP2BP2/5KPP/1R6 b - - 1 29,10
r5k1/1r5p/5pp1/2R1p3/1pb1P3/bP2BP2/5KPP/1R6 w - - 0 30,30
r5k1/1r5p/5pp1/2R1p3/1pP1P3/b3BP2/5KPP/1R6 b - - 0 30,-21
r5k1/1r5p/5pp1/2R1p3/2P1P3/bp2BP2/5KPP/1R6 w - - 0 31,-53
r5k1/1r5p/5pp1/1R2p3/2P1P3/bp2BP2/5KPP/1R6 b - - 1 31,-59
r5k1/7p/5pp1/1r2p3/2P1P3/bp2BP2/5KPP/1R6 w - - 0 32,-55
r5k1/7p/5pp1/1P2p3/4P3/bp2BP2/5KPP/1R6 b - - 0 32,-66
r5k1/7p/5pp1/1P2p3/4P3/b3BP2/1p3KPP/1R6 w - - 0 33,-49
r5k1/7p/1P3pp1/4p3/4P3/b3BP2/1p3KPP/1R6 b - - 0 33,-23
r7/5k1p/1P3pp1/4p3/4P3/b3BP2/1p3KPP/1R6 w - - 1 34,-16
r7/5k1p/1P3pp1/4p3/4P3/b3BP2/1p2K1PP/1R6 b - - 2 34,-15
r7/7p/1P2kpp1/4p3/4P3/b3BP2/1p2K1PP/1R6 w - - 3 35,0
r7/7p/1P2kpp1/4p3/4P3/b2KBP2/1p4PP/1R6 b - - 4 35,-1
2r5/7p/1P2kpp1/4p3/4P3/b2KBP2/1p4PP/1R6 w - - 5 36,0
2r5/7p/1P2kpp1/4p3/4P3/b2K1P2/1p1B2PP/1R6 b - - 6 36,-117
8/7p/1Pr1kpp1/4p3/4P3/b2K1P2/1p1B2PP/1R6 w - - 7 37,-10
8/7p/1Pr1kpp1/B3p3/4P3/b2K1P2/1p4PP/1R6 b - - 8 37,-8
8/7p/1P2kpp1/B1r1p3/4P3/b2K1P2/1p4PP/1R6 w - - 9 38,-10
8/7p/1P2kpp1/2r1p3/4P3/b1BK1P2/1p4PP/1R6 b - - 10 38,-10
8/7p/1P2kpp1/1r2p3/4P3/b1BK1P2/1p4PP/1R6 w - - 11 39,-12
8/7p/1P2kpp1/1r2p3/4P3/b1B2P2/1pK3PP/1R6 b - - 12 39,-13
8/7p/1r2kpp1/4p3/4P3/b1B2P2/1pK3PP/1R6 w - - 0 40,-12
8/7p/1r2kpp1/4p3/4P3/b4P2/1BK3PP/1R6 b - - 0 40,-9
8/7p/4kpp1/4p3/4P3/b4P2/1rK3PP/1R6 w - - 0 41,-5
8/7p/4kpp1/4p3/4P3/b4P2/1RK3PP/8 b - - 0 41,-6
8/7p/4kpp1/4p3/4P3/5P2/1bK3PP/8 w - - 0 42,-3
8/7p/4kpp1/4p3/4P3/5P2/1K4PP/8 b - - 0 42,-7
8/7p/3k1pp1/4p3/4P3/5P2/1K4PP/8 w - - 1 43,-8
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,26
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,35
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,29
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,33
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,36
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,39
rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,38
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,42
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,33
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,35
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq - 1 6,28
rnbqkb1r/1p3ppp/p2p1n2/4p3/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 0 7,30
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQK2R b KQkq - 1 7,26
rnbqk2r/1p2bppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQK2R w KQkq - 2 8,22
rnbqk2r/1p2bppp/p2p1n2/4p1B1/4P3/1NN5/PPP1BPPP/R2QK2R b KQkq - 3 8,21
rn1qk2r/1p2bppp/p2pbn2/4p1B1/4P3/1NN5/PPP1BPPP/R2QK2R w KQkq - 4 9,23
rn1qk2r/1p2bppp/p2pbB2/4p3/4P3/1NN5/PPP1BPPP/R2QK2R b KQkq - 0 9,12
rn1qk2r/1p3ppp/p2pbb2/4p3/4P3/1NN5/PPP1BPPP/R2QK2R w KQkq - 0 10,13
rn1qk2r/1p3ppp/p2pbb2/3Np3/4P3/1N6/PPP1BPPP/R2QK2R b KQkq - 1 10,2
r2qk2r/1p1n1ppp/p2pbb2/3Np3/4P3/1N6/PPP1BPPP/R2QK2R w KQkq - 2 11,-21
r2qk2r/1p1n1ppp/p2pbb2/3Np3/4P3/1N6/PPP1BPPP/R2Q1RK1 b kq - 3 11,-31
r2q1rk1/1p1n1ppp/p2pbb2/3Np3/4P3/1N6/PPP1BPPP/R2Q1RK1 w - - 4 12,-38
r2q1rk1/1p1n1ppp/p2pbb2/3Np3/4P3/1N1Q4/PPP1BPPP/R4RK1 b - - 5 12,-42
2rq1rk1/1p1n1ppp/p2pbb2/3Np3/4P3/1N1Q4/PPP1BPPP/R4RK1 w - - 6 13,-46
2rq1rk1/1p1n1ppp/p2pbb2/3Np3/4P3/1NPQ4/PP2BPPP/R4RK1 b - - 0 13,-46
2rq1rk1/1p1n1ppp/p2pb3/3Np1b1/4P3/1NPQ4/PP2BPPP/R4RK1 w - - 1 14,-48
2rq1rk1/1p1n1ppp/p2pb3/3Np1b1/4P3/1NPQ4/PP2BPPP/3R1RK1 b - - 2 14,-48
2rq1rk1/1p1n1p1p/p2pb1p1/3Np1b1/4P3/1NPQ4/PP2BPPP/3R1RK1 w - - 0 15,-52
2rq1rk1/1p1n1p1p/p2pb1p1/3Np1b1/4P3/1NPQ4/PP2BPPP/3R1R1K b - - 1 15,-61
2rq1rk1/1p1n1p1p/p2pb1pb/3Np3/4P3/1NPQ4/PP2BPPP/3R1R1K w - - 2 16,-44
2rq1rk1/1p1n1p1p/p2pb1pb/4p3/4P3/1NPQN3/PP2BPPP/3R1R1K b - - 3 16,-74
2rq1rk1/1p3p1p/p2pbnpb/4p3/4P3/1NPQN3/PP2BPPP/3R1R1K w - - 4 17,-105
2rq1rk1/1p3p1p/p2pbnpb/4p3/4P3/1NPQNB2/PP3PPP/3R1R1K b - - 5 17,-109
3q1rk1/1p3p1p/p1rpbnpb/4p3/4P3/1NPQNB2/PP3PPP/3R1R1K w - - 6 18,-113
3q1rk1/1p3p1p/p1rpbnpb/4p3/4P3/1NP1NB2/PP2QPPP/3R1R1K b - - 7 18,-135
5rk1/1p3p1p/pqrpbnpb/4p3/4P3/1NP1NB2/PP2QPPP/3R1R1K w - - 8 19,-110
5rk1/1p3p1p/pqrpbnpb/3Np3/4P3/1NP2B2/PP2QPPP/3R1R1K b - - 9 19,-118
5rk1/1p3p1p/pqrp1npb/3bp3/4P3/1NP2B2/PP2QPPP/3R1R1K w - - 0 20,-111
5rk1/1p3p1p/pqrp1npb/3Pp3/8/1NP2B2/PP2QPPP/3R1R1K b - - 0 20,-116
2r2rk1/1p3p1p/pq1p1npb/3Pp3/8/1NP2B2/PP2QPPP/3R1R1K w - - 1 21,-123
2r2rk1/1p3p1p/pq1p1npb/3Pp3/8/1NP2B2/PPQ2PPP/3R1R1K b - - 2 21,-122
2r2rk1/1p1n1p1p/pq1p2pb/3Pp3/8/1NP2B2/PPQ2PPP/3R1R1K w - - 3 22,-118
2r2rk1/1p1n1p1p/pq1p2pb/3Pp3/8/1NP5/PPQ1BPPP/3R1R1K b - - 4 22,-107
2r2rk1/1p1n3p/pq1p2pb/3Ppp2/8/1NP5/PPQ1BPPP/3R1R1K w - - 0 23,-114
2r2rk1/1p1n3p/pq1p2pb/3Ppp2/8/1NP2P2/PPQ1B1PP/3R1R1K b - - 0 23,-138
2r2r2/1p1n2kp/pq1p2pb/3Ppp2/8/1NP2P2/PPQ1B1PP/3R1R1K w - - 1 24,-146
2r2r2/1p1n2kp/pq1p2pb/3Ppp2/8/2P2P2/PPQNB1PP/3R1R1K b - - 2 24,-165
2r2r2/1pqn2kp/p2p2pb/3Ppp2/8/2P2P2/PPQNB1PP/3R1R1K w - - 3 25,-149
2r2r2/1pqn2kp/p2p2pb/3Ppp2/P7/2P2P2/1PQNB1PP/3R1R1K b - - 0 25,-144
2r2r2/1pqn2kp/p2p2p1/3Pppb1/P7/2P2P2/1PQNB1PP/3R1R1K w - - 1 26,-130
2r2r2/1pqn2kp/p2p2p1/3Pppb1/P1N5/2P2P2/1PQ1B1PP/3R1R1K b - - 2 26,-148
2r2r2/1pqn2k1/p2p2p1/3Pppbp/P1N5/2P2P2/1PQ1B1PP/3R1R1K w - - 0 27,-120
2r2r2/1pqn2k1/p2p2p1/3Pppbp/P1N5/1QP2P2/1P2B1PP/3R1R1K b - - 1 27,-132
3r1r2/1pqn2k1/p2p2p1/3Pppbp/P1N5/1QP2P2/1P2B1PP/3R1R1K w - - 2 28,-128
3r1r2/1pqn2k1/p2p2p1/3Pppbp/P1N5/Q1P2P2/1P2B1PP/3R1R1K b - - 3 28,-147
3r1r2/1pq3k1/p2p1np1/3Pppbp/P1N5/Q1P2P2/1P2B1PP/3R1R1K w - - 4 29,-167
3r1r2/1pq3k1/p2p1np1/3Pppbp/PQN5/2P2P2/1P2B1PP/3R1R1K b - - 5 29,-178
3r1r2/1pq3k1/p2p1np1/3Pppb1/PQN4p/2P2P2/1P2B1PP/3R1R1K w - - 0 30,-195
3r1r2/1pq3k1/pQ1p1np1/3Pppb1/P1N4p/2P2P2/1P2B1PP/3R1R1K b - - 1 30,-208
3r1r2/1p2q1k1/pQ1p1np1/3Pppb1/P1N4p/2P2P2/1P2B1PP/3R1R1K w - - 2 31,-227
3r1r2/1p2q1k1/pQ1p1np1/N2Pppb1/P6p/2P2P2/1P2B1PP/3R1R1K b - - 3 31,-210
5r2/1p1rq1k1/pQ1p1np1/N2Pppb1/P6p/2P2P2/1P2B1PP/3R1R1K w - - 4 32,-234
5r2/1p1rq1k1/pQ1p1np1/3Pppb1/P1N4p/2P2P2/1P2B1PP/3R1R1K b - - 5 32,-281
5r2/1p1rq1k1/pQ1p2p1/3Pppbn/P1N4p/2P2P2/1P2B1PP/3R1R1K w - - 6 33,-275
5r2/1p1rq1k1/pQ1p2p1/3Pppbn/P1N4p/2P2P2/1P2B1PP/3RR2K b - - 7 33,-261
5r2/1p1rq1k1/pQ1p2p1/3Ppp1n/P1N2b1p/2P2P2/1P2B1PP/3RR2K w - - 8 34,-252
5r2/1p1rq1k1/pQ1p2p1/3Ppp1n/P4b1p/2P2P2/1P1NB1PP/3RR2K b - - 9 34,-356
5r2/1p1r2k1/pQ1p2p1/3Pppqn/P4b1p/2P2P2/1P1NB1PP/3RR2K w - - 10 35,-249
5r2/1p1r2k1/pQ1p2p1/3Pppqn/P4b1p/2P2P2/1P2B1PP/3RRN1K b - - 11 35,-243
7r/1p1r2k1/pQ1p2p1/3Pppqn/P4b1p/2P2P2/1P2B1PP/3RRN1K w - - 12 36,-226
7r/1p1r2k1/pQ1p2p1/3Pppqn/P4b1p/2PB1P2/1P4PP/3RRN1K b - - 13 36,-238
7r/1p3rk1/pQ1p2p1/3Pppqn/P4b1p/2PB1P2/1P4PP/3RRN1K w - - 14 37,-212
7r/1p3rk1/pQ1p2p1/3Pppqn/P4b1p/2PB1P2/1P2R1PP/3R1N1K b - - 15 37,-251
7r/1p3rk1/pQ1p1qp1/3Ppp1n/P4b1p/2PB1P2/1P2R1PP/3R1N1K w - - 16 38,-223
7r/1p3rk1/pQ1p1qp1/3Ppp1n/P4b1p/2PB1P2/1P2R1PP/3R1NK1 b - - 17 38,-226
4r3/1p3rk1/pQ1p1qp1/3Ppp1n/P4b1p/2PB1P2/1P2R1PP/3R1NK1 w - - 18 39,-210
4r3/1p3rk1/pQ1p1qp1/3Ppp1n/P4b1p/2P2P2/1PB1R1PP/3R1NK1 b - - 19 39,-210
4r3/1p3rk1/pQ1p1qpb/3Ppp1n/P6p/2P2P2/1PB1R1PP/3R1NK1 w - - 20 40,-189
4r3/1p3rk1/pQ1p1qpb/3Ppp1n/P6p/2P2P2/1PB3PP/3RRNK1 b - - 21 40,-220
4r3/1p3rk1/pQ1p1qpb/3Ppp2/P4n1p/2P2P2/1PB3PP/3RRNK1 w - - 22 41,-190
4r3/1p3rk1/pQ1p1qpb/3Ppp2/P4n1p/2P2P2/1PB3PP/3RRN1K b - - 23 41,-197
2r5/1p3rk1/pQ1p1qpb/3Ppp2/P4n1p/2P2P2/1PB3PP/3RRN1K w - - 24 42,-195
2r5/1p3rk1/p2p1qpb/3Ppp2/P4n1p/2P2P2/1PB2QPP/3RRN1K b - - 25 42,-237
2r5/1p3rk1/p2p1qpb/3Ppp1n/P6p/2P2P2/1PB2QPP/3RRN1K w - - 26 43,-215
2r5/1p3rk1/p2p1qpb/3Ppp1n/P6p/2P2P2/1PB2QPP/3RRNK1 b - - 27 43,-236
2r5/1p3rk1/p2p1qp1/3Ppp1n/P4b1p/2P2P2/1PB2QPP/3RRNK1 w - - 28 44,-232
2r5/1p3rk1/p2p1qp1/3Ppp1n/P4b1p/1BP2P2/1P3QPP/3RRNK1 b - - 29 44,-249
8/1p3rk1/p2p1qp1/2rPpp1n/P4b1p/1BP2P2/1P3QPP/3RRNK1 w - - 30 45,-266
8/1p3rk1/p2p1qp1/2rPpp1n/P4b1p/2P2P2/BP3QPP/3RRNK1 b - - 31 45,-298
8/1p3rk1/p2p2p1/2rPppqn/P4b1p/2P2P2/BP3QPP/3RRNK1 w - - 32 46,-269
8/1p3rk1/p2p2p1/2rPppqn/P4b1p/2P2P2/BPQ3PP/3RRNK1 b - - 33 46,-314
2r5/1p3rk1/p2p2p1/3Pppqn/P4b1p/2P2P2/BPQ3PP/3RRNK1 w - - 34 47,-275
2r5/1p3rk1/p2p2p1/3Pppqn/P4b1p/2P2P2/1PQ3PP/1B1RRNK1 b - - 35 47,-293
4r3/1p3rk1/p2p2p1/3Pppqn/P4b1p/2P2P2/1PQ3PP/1B1RRNK1 w - - 36 48,-275
4r3/1p3rk1/p2p2p1/3Pppqn/P4b1p/2P2P2/1PQ1R1PP/1B1R1NK1 b - - 37 48,-275
3qr3/1p3rk1/p2p2p1/3Ppp1n/P4b1p/2P2P2/1PQ1R1PP/1B1R1NK1 w - - 38 49,-271
3qr3/1p3rk1/p2p2p1/3Ppp1n/P4b1p/2P2P2/1PQ3PP/1B1RRNK1 b - - 39 49,-266
3qr3/5rk1/p2p2p1/1p1Ppp1n/P4b1p/2P2P2/1PQ3PP/1B1RRNK1 w - - 0 50,-263
3qr3/5rk1/p2p2p1/1P1Ppp1n/5b1p/2P2P2/1PQ3PP/1B1RRNK1 b - - 0 50,-252
3qr3/5rk1/3p2p1/1p1Ppp1n/5b1p/2P2P2/1PQ3PP/1B1RRNK1 w - - 0 51,-269
3qr3/5rk1/3p2p1/1p1Ppp1n/5b1p/2P2P2/1P3QPP/1B1RRNK1 b - - 1 51,-250
3qr3/5rk1/3p2p1/1p1Pppbn/7p/2P2P2/1P3QPP/1B1RRNK1 w - - 2 52,-228
3qr3/5rk1/3p2p1/1p1Pppbn/7p/2PB1P2/1P3QPP/3RRNK1 b - - 3 52,-253
1q2r3/5rk1/3p2p1/1p1Pppbn/7p/2PB1P2/1P3QPP/3RRNK1 w - - 4 53,-244
1q2r3/5rk1/3p2p1/1p1Pppbn/7p/2PB1P2/1P3QPP/R3RNK1 b - - 5 53,-290
1q2r3/5rk1/3p2p1/1p1Pppb1/5n1p/2PB1P2/1P3QPP/R3RNK1 w - - 6 54,-306
1q2r3/5rk1/3p2p1/1p1Pppb1/5n1p/2P2P2/1PB2QPP/R3RNK1 b - - 7 54,-290
4r3/1q3rk1/3p2p1/1p1Pppb1/5n1p/2P2P2/1PB2QPP/R3RNK1 w - - 8 55,-291
4r3/1q3rk1/3p2p1/1p1Pppb1/5n1p/2P2P2/1PB2QPP/3RRNK1 b - - 9 55,-278
3br3/1q3rk1/3p2p1/1p1Ppp2/5n1p/2P2P2/1PB2QPP/3RRNK1 w - - 10 56,-278
3br3/1q3rk1/3p2p1/1p1Ppp2/5n1p/2P2P2/1PBQ2PP/3RRNK1 b - - 11 56,-282
4r3/1q3rk1/1b1p2p1/1p1Ppp2/5n1p/2P2P2/1PBQ2PP/3RRNK1 w - - 12 57,-283
4r3/1q3rk1/1b1p2p1/1p1Ppp2/5n1p/2P2P2/1PBQ2PP/3RRN1K b - - 13 57,-275
7r/1q3rk1/1b1p2p1/1p1Ppp2/5n1p/2P2P2/1PBQ2PP/3RRN1K w - - 14 58,-285
7r/1q3rk1/1b1p2p1/1p1Ppp2/5n1p/2P1NP2/1PBQ2PP/3RR2K b - - 15 58,-279
7r/1q3rk1/1b1p2p1/1p1Ppp1n/7p/2P1NP2/1PBQ2PP/3RR2K w - - 16 59,-293
7r/1q3rk1/1b1p2p1/1p1Ppp1n/7p/2P1NP1P/1PBQ2P1/3RR2K b - - 0 59,-287
7r/bq3rk1/3p2p1/1p1Ppp1n/7p/2P1NP1P/1PBQ2P1/3RR2K w - - 1 60,-247
7r/bq3rk1/3p2p1/1p1Ppp1n/7p/2P1NP1P/1PBQ2PK/3RR3 b - - 2 60,-249
7r/b4rk1/1q1p2p1/1p1Ppp1n/7p/2P1NP1P/1PBQ2PK/3RR3 w - - 3 61,-193
7r/b4rk1/1q1p2p1/1p1Ppp1n/7p/2PBNP1P/1P1Q2PK/3RR3 b - - 4 61,-208
7r/b4rk1/1q1p2p1/1p1Ppp2/7p/2PBNPnP/1P1Q2PK/3RR3 w - - 5 62,-195
7r/b4rk1/1q1p2p1/1p1Ppp2/1P5p/2PBNPnP/3Q2PK/3RR3 b - - 0 62,-197
5r2/b4rk1/1q1p2p1/1p1Ppp2/1P5p/2PBNPnP/3Q2PK/3RR3 w - - 1 63,-142
5r2/b4rk1/1q1p2p1/1p1Ppp2/1PP4p/3BNPnP/3Q2PK/3RR3 b - - 0 63,-141
5r2/b4rk1/1q1p2p1/1p1Pp3/1PP2p1p/3BNPnP/3Q2PK/3RR3 w - - 0 64,-134
5r2/b4rk1/1q1p2p1/1p1Pp3/1PP2pNp/3B1PnP/3Q2PK/3RR3 b - - 1 64,-136
5r2/b4rk1/1q1p2p1/3Pp3/1Pp2pNp/3B1PnP/3Q2PK/3RR3 w - - 0 65,-138
5r2/b4rk1/1q1p2p1/3Pp3/1PB2pNp/5PnP/3Q2PK/3RR3 b - - 0 65,-117
1r6/b4rk1/1q1p2p1/3Pp3/1PB2pNp/5PnP/3Q2PK/3RR3 w - - 1 66,-71
1r6/b4rk1/1q1p2p1/3Pp3/1PB2pNp/5PnP/3Q2PK/1R2R3 b - - 2 66,-83
1r6/b1r3k1/1q1p2p1/3Pp3/1PB2pNp/5PnP/3Q2PK/1R2R3 w - - 3 67,-79
1r6/b1r3k1/1q1p2p1/3Pp3/1P3pNp/5PnP/B2Q2PK/1R2R3 b - - 4 67,-287
2r5/b1r3k1/1q1p2p1/3Pp3/1P3pNp/5PnP/B2Q2PK/1R2R3 w - - 5 68,-213
2r5/b1r3k1/1q1p2p1/3Pp3/1P3pNp/5PnP/B2Q2PK/1RR5 b - - 6 68,-241
2r5/b5k1/1q1p2p1/3Pp3/1P3pNp/5PnP/B2Q2PK/1Rr5 w - - 0 69,-200
2r5/b5k1/1q1p2p1/3Pp3/1P3pNp/5PnP/B2Q2PK/2R5 b - - 0 69,-189
2r5/b5k1/1q1p2p1/3Pp3/1P3pNp/5P1P/B2Qn1PK/2R5 w - - 1 70,-95
2r5/b5k1/1q1p2p1/3Pp3/1P3pNp/5P1P/B2Qn1PK/4R3 b - - 2 70,-172
2r5/b5k1/1q1p2p1/3Pp3/1P3pNp/2n2P1P/B2Q2PK/4R3 w - - 3 71,-18
2r5/b5k1/1q1p2p1/3Pp3/1P3pNp/2n2P1P/3Q2PK/1B2R3 b - - 4 71,-96
2r5/b5k1/1q1p2p1/3Pp3/1P3pNp/5P1P/3Q2PK/1n2R3 w - - 0 72,1
2r5/b5k1/1q1p2p1/3Pp3/1P3pNp/5P1P/3Q2PK/1R6 b - - 0 72,1
8/b5k1/1q1p2p1/3Pp3/1Pr2pNp/5P1P/3Q2PK/1R6 w - - 1 73,80
8/b5k1/1q1p2p1/3Pp3/1Pr2pNp/5P1P/6PK/1R2Q3 b - - 2 73,96
8/b5k1/1q1p4/3Pp1p1/1Pr2pNp/5P1P/6PK/1R2Q3 w - - 0 74,92
8/b5k1/1q1p4/3Pp1p1/1Pr2pNp/5P1P/6PK/2R1Q3 b - - 1 74,3
