fen,evaluation
4q3/Q3b2n/3p1kp1/1p1b4/1Pp2pPN/2P5/2BN1P2/6K1 b - - 1 40,154
4q3/Q3bb1n/3p1kp1/1p6/1Pp2pPN/2P5/2BN1P2/6K1 w - - 2 41,201
4q3/4bb1n/3p1kp1/1p6/1PpQ1pPN/2P5/2BN1P2/6K1 b - - 3 41,131
4q3/4bb1n/3pk1p1/1p6/1PpQ1pPN/2P5/2BN1P2/6K1 w - - 4 42,142
4q3/4bb1n/3pk1p1/1p3N2/1PpQ1pP1/2P5/2BN1P2/6K1 b - - 5 42,125
4qb2/5b1n/3pk1p1/1p3N2/1PpQ1pP1/2P5/2BN1P2/6K1 w - - 6 43,171
4qb2/5b1n/3pk1p1/1p3N2/1Pp2QP1/2P5/2BN1P2/6K1 b - - 0 43,171
4qb2/3k1b1n/3p2p1/1p3N2/1Pp2QP1/2P5/2BN1P2/6K1 w - - 1 44,215
4qb2/3k1b1n/3p2p1/1p6/1PpN1QP1/2P5/2BN1P2/6K1 b - - 2 44,211
5b2/3k1b1n/3p2p1/1p6/1PpN1QP1/2P5/2BN1P2/4q1K1 w - - 3 45,282
5b2/3k1b1n/3p2p1/1p6/1PpN1QP1/2P5/2BN1PK1/4q3 b - - 4 45,262
5b2/3k3n/3p2p1/1p1b4/1PpN1QP1/2P5/2BN1PK1/4q3 w - - 5 46,281
5b2/3k3n/3p2p1/1p1b4/1PpNBQP1/2P5/3N1PK1/4q3 b - - 6 46,294
5b2/3k3n/3p2p1/1p6/1PpNbQP1/2P5/3N1PK1/4q3 w - - 0 47,277
5b2/3k3n/3p2p1/1p6/1PpNNQP1/2P5/5PK1/4q3 b - - 0 47,286
8/3kb2n/3p2p1/1p6/1PpNNQP1/2P5/5PK1/4q3 w - - 1 48,276
8/3kb2n/3p2p1/1N6/1Pp1NQP1/2P5/5PK1/4q3 b - - 0 48,290
5n2/3kb3/3p2p1/1N6/1Pp1NQP1/2P5/5PK1/4q3 w - - 1 49,414
5n2/3kb3/3N2p1/8/1Pp1NQP1/2P5/5PK1/4q3 b - - 0 49,411
8/3kb3/3Nn1p1/8/1Pp1NQP1/2P5/5PK1/4q3 w - - 1 50,654
8/3kb3/3Nn1p1/4Q3/1Pp1N1P1/2P5/5PK1/4q3 b - - 2 50,632
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,32
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,29
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,34
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,37
